audiocap_id,youtube_id,start_time,caption
100015,xpSkkPTtQw4,80,high pitched squeaking with people speaking and sirens in the distance
100012,xpF_Jeaj7cs,6,"a man speaking followed by a swoosh then a loud splash, then a man laughs"
100013,xpOMdriES2A,50,a large crowd speaking and yelling followed by bells ringing
100010,xpCI-rEY1kM,140,a woman speaking with music playing and a toilet flushing
100011,xpE3LXuhJS8,210,vibrations and humming of a power drill
17250,67qTV1MDXhc,100,a bell chiming
17251,67r_mSftdjk,30,a woman giving a speech
17252,67rvn9HIZsM,10,the chirping of multiple birds accompanies gurgling water and crunching footsteps
17253,67tVU2CeweE,30,a domestic bird whistling
17254,67yhKQpwvjo,30,"people speak followed by spraying, then a phone rings"
17255,67zyxZb-wQM,340,a round of applause followed by a woman speaking
17256,6813SgG-6Rk,8,a door creaks open slowly
17257,6850oZZoeb8,60,"traffic sounds are present and ongoing, an adult male is speaking, and metal clicking occurs"
63024,XbTazhNR5Cc,20,a kid talks followed by a woman talking while several people laugh
63025,XbVIP4Ma8LA,30,musical whistling with a child speaking followed by squeaking
10709,3JNjTAf04rc,30,people are talking and pig oinks
10708,3JLBP8VnukU,12,a dog whimpers repeatedly
63020,XbF-3zRh4u8,20,a vehicle engine idles and revs while knocking
63021,XbHWGVEg9hQ,9,an emergency vehicle siren wails continuously
95799,ubIlCVO3pbk,30,a man speaking as a ball bounces on a hard surface in the background with wind blowing into a microphone
95798,ubH-QNZoYcU,30,beating drum getting faster then childrens voices and clapping then adult male voice
10703,3JAjNVImec4,340,people cheering and race cars racing by
10702,3JAIdFFGTtQ,200,pots and pans rattle in the background
10701,3J9nGJ5dmsI,30,motorcycle driving away at high speeds
10700,3J7NzRVaixM,7,"the wind is blowing, a engine runs, and tires squeal"
10707,3JIEw_2vKiQ,21,"loud vibrations of a car idling and revving, it stops"
10706,3JGsZLRU-kc,40,a water faucet is running then turned off
10705,3JELvtiMAZM,110,vehicle running loudly with a clanking sound
10704,3JDBtQgmQmA,30,a male having a speech
80276,ixaY3TcKFFA,290,food is sizzling while frying
22743,8lAgQ9TEaOI,30,a woman talking
21619,8Cscq1H9Lng,130,a vehicle driving and accelerating
21618,8Cpw8deghns,150,crinkling noise followed by a man talking
101353,yutZPdbl_ec,100,humming and rattling followed by sirens
21614,8ClpqdlMMTE,50,a small dog whimpering and howling
21617,8Cpu6HuZppw,50,someone suddenly sneezes out loud
21616,8CpkuIJ1aQg,30,an adult male is speaking informatively
21611,8CdmbbBcx14,430,a kid speaking and another kid talks in the background
21610,8C_A2FOG02E,30,bell chiming with a vehicle starting up
21613,8Cl-_ONJOes,30,a man is talking
21612,8Cex_va7-8U,17,"a horse walks, some wood creaks, and a man talks"
101351,yuqhiRZx2S0,30,"Running water with a distant, muffled speech and white noise."
54541,RmBk04jFR64,22,Some liquid flowing
101356,yv2SWPaxsRo,10,light snoring and gurgle
79230,iBVeBNCfzHo,0,humming of an engine with bells ringing and a loud horn blowing
80270,ixHbyZK-FOo,20,"movement is followed by a sheep bleating and followed in turn by loud, male human speech"
101355,yv1QdrwSh_E,23,"loud, high pitched squealing"
41630,JICpGwGZylQ,30,a vehicle engine idles and revs
20151,7UC6F9xm8nw,40,water flows as a strong wind blows
62369,XB1vuQsebTo,40,bang followed by clicking with some speech
79231,iBWk_JObbbM,0,a woman talks followed by someone sneezing and someone laughing
48623,NnyCFgrrMbw,320,a woman narrating accompanied by birds chirping and tweeting
22741,8l7qHOIZTUE,30,wind is blowing and ocean waves are crashing
46869,MgePbY_AHxQ,190,rain falls onto a hard surface and a vehicle passes by
46868,MgdezjWprm8,30,wind blows strongly and a beep sounds followed by a man speaking
20152,7UDqGvkQx4Q,570,a drill is being used and a man speaks over it
58079,UANClWpYILs,30,a helicopter engine runs and a man speaks
31730,DJNQWZVnctU,4,a couple of squeaks as a large engine vrooms let out
46861,MgHh1iN_8fk,100,a sewing machine operates with squeaking sounds followed by knocking
58074,UA5_5uj4iIw,0,"the whir of machine motors, the clacking of wooden boards"
58077,UAH54zJo6q8,60,a stream of water runs
46862,MgMCLBctsGA,100,water splashing rapidly followed by a man speaking loudly
46865,MgUOTRYAt4c,250,a man speaks and scrapes an object.
46864,MgRSnbmfNlM,540,people speak as dishes are moved around
58073,UA4iEfT5sMo,110,Insects buzzing lightly followed by a muffled clicking.
58072,U9ySkH80BU8,20,someone speaks as water runs into a sink
20157,7URCyNHWELQ,22,a person talking followed by a dog barking loudly
48626,No4FKInK3-Q,30,an explosion occurs then people speak and laugh
22746,8lJhwGR7izQ,30,a small baby is crying and man is talking
20159,7UTiEhYDBQs,30,animals whimper as something thumps
82464,kZyM3RrHXog,60,clip-clop of wood followed by drilling
20158,7USy-jxSsUg,30,two babies are crying loudly and rapidly
22747,8lPjqvYWNyM,230,a man speaking a woman laughing and clapping
82443,kZDaoeUbXqw,40,a bird cawing and a man speaking
82442,kZDWmc9UrEM,0,a jet engine runs while wind blows
82440,kZ6h5EYl6fs,150,a large engine roars and someone is shouts a loud short rout
82447,kZMa5ozoqlg,30,tapping occurs with random thumping and a hissing occur briefly
82446,kZLDKkAUlkA,30,multiple vehicle horns honk and people speak in a busy environment
13058,4I2KlSyijz4,330,men talk while an audience laughs and water runs from a faucet
13059,4IF49XmNCaw,50,"a toilet flushes, water flows"
82445,kZKskNrmMZY,100,a man speaks and crumples an object
13052,4HtkTDr342c,30,a man is speaking and water is gurgling in the background
13053,4HxIyosr-AM,200,a man is narrating while instrumental music plays and a plane engine sounds
13050,4HrtJcJc174,30,a woman is giving a speech
13051,4Hs1yZu1GAU,520,food is sizzling dishes are clanging together and a woman is speaking
13056,4HzAuSA8Syk,60,"people talking in foreign language, train horn"
13057,4I0SfHz97Ag,150,"people applaud, and a man speaks"
13054,4Hy1t6KBY4o,520,vehicle drives and honks its horn
13055,4Hz53AafH7s,480,motor slowing down
22745,8lDkUVTGv_M,30,a man is speaking
51824,Ptt1apuquYU,0,a door opening and closing followed by a man groaning
69881,bP19-M4znmY,180,a vehicle runs and a man speaks
44427,L5qJthb-EfE,110,a bird chirps repeatedly and moves around
44426,L5nBdjQ0-a0,30,special effects sounds play in an enclosed space and a man speaks through a microphone
44425,L5kE4HUlgcc,60,a woman speaks and a motorcycle engine revs
44424,L5gAhon3a68,290,a person speaks and a small rc engine spools up
44423,L5fq5D1Uces,12,as the wind blows steadily a bird sings and an engine goes by
44422,L5byp4PQik0,23,a horse walks causing clip-clopping as people speak
44421,L5UlIrlQAWA,130,a person speaks and a bird vocalizes
44420,L5TDitkphVE,21,people speak then an artillery round is fired
44429,L5rNTthz2yw,80,guitar music then a steam whistle
44428,L5rGiLk6fGk,230,a woman speaks then a sewing machine runs briefly
82467,k_9e0BqdSNM,570,humming occurs as a vehicle engine idles followed by an emergency vehicle siren wailing
40327,ISaHrTcyN9Y,11,two men talk nearby while dogs bark and people talk far away
29927,CK04S0xSebQ,60,a large amount of water rushes quickly
27619,B9JPdSzZXvc,4,a door is sliding open
27618,B9J303z3ICM,270,a flushing of water and people talking
27617,B9Hlx2G4ADc,30,an idling engine sound is followed by an engine revving
27616,B9F7ijiMaxs,30,children are speaking followed by laughter
27615,B98GzVyBEH8,30,"a man speaking in the distance with traffic passing in the distance, then a man speaks nearby and a door opens"
27614,B97t6blNHnA,30,an engine idling consistently
27613,B94vwFIqTUQ,350,a man speaks and types
27612,B9-LyMdFE4I,190,sanding and cracking
27611,B8xK_lJFsRw,30,people speaking on a moving bus
27610,B8t0JMx0vyk,450,water pours out onto a surface
97939,wEiCL_3i8K0,100,digital beeping with some light clicking
97938,wEXFa9wRSn0,90,international music plays as water pours into a pot and finally some splashes
97931,wEDtBaumjH8,30,a train horn sounds then someone laughs
97930,wEDditLGJwg,60,"several small shuffles of hard objects knocking, followed by loud explosions interspersed by a grown man chuckling"
97933,wEHn8K3_PH8,70,scraping and rustling with wind blowing
97932,wEE4iBudOL0,40,yipping followed by a girl speaking
97935,wELvo9Zb6sE,190,rain falling hard with humming and a man speaking then thunder roars
97937,wEQHRJv0frU,0,A music is played with a singer singing.
97936,wEOUKOgEyR0,290,a woman speaking with vibrating and clicking
52973,QffuEUu21ak,40,a truck engine sporadically revving
43269,KLRQmfd113A,110,a steam engine whistle blows as it runs and ticking occurs
47672,NDYdbp2nE58,0,someone snores nearby
65888,ZZv4dKeq9qI,0,beeps multiple times
65889,ZZvrcW6SfRo,40,a helicopter propellers spinning
8549,2Qh9AFPNq50,8,a dog is barking people are talking
8548,2QdnSWzMPCI,30,a large motor vehicle engine idles and then revs up
8545,2QZSUAQMHqk,30,motor running followed by faint murmuring and gunshot
8544,2QXhTsNhzIQ,340,"a distant train horn, followed by the clickety-clank of the train on the rail"
8547,2QbILUeEoWM,30,a person talks and a bird chirps and whistles
8546,2QaPqPUOioQ,120,birds are chirping and tweeting
8541,2QTH4_WQlgg,0,a toilet flushes and then woman laugh in the background
8540,2QLhxtgqvU8,40,"a man speaks followed by electrical hums, some clicking, and liquid being poured"
8543,2QXBc5C7Ut0,30,female speaking followed by child speaking
8542,2QX7_GceNp4,40,"a gun is firing, and whizzing and metal clinking occur"
92262,rsr8OcJu1pU,80,a helicopter engine runs and birds chirp
92260,rsfXfpnLfeE,29,frogs croaking and chirping
92261,rsp45nWY-Jw,30,some liquid flows while a music is played and a man speaks
92266,rsxG87gHWFI,30,a dog howls while a beeping occurs
92267,rt-0CEbzL2k,470,high pitched continuous ringing followed by clanking and rustling
92264,rsrZOjkQ3rY,140,rubbing and scraping followed by a soft power tool drilling then a louder power tool drilling
92265,rswivgQdpFA,10,a child and man speak then whistle
92268,rt0-hh8NqSo,60,roosters crow and wings flap
92269,rt0Ksg7zpow,40,"an engine revs, tires squeal, a car accelerates into the distance"
61768,WjV6kpr9cKQ,470,a man speaks while a motorcycle engine runs and revs
66504,_-sns7INCWo,50,rustling together with male speech and white noise
66507,_08L5xGcxdY,50,a solid object is being sawed continuously
66502,_-ltn94CwSQ,40,insects buzz as objects are moved around
66503,_-pQ3YyKEBE,14,people countdown to an explosion then speak and cheer
50412,OzswMV1r6q4,0,someone laughs nearby
50411,OzsSomKsgqQ,330,hissing occurs as a vehicle engine idles and wind blows before a man speaks briefly
50410,OzmtIGIsh7Y,30,a man is speaking then a sewing machine briefly turns on and off
66508,_0GMVllsIy4,30,a pigeon coos softly and then there is a lot of pecks and cooing by a lot of birds
66509,_0IFeVYv1bY,30,a cat meows as humming occurs
50415,OzvXPl848dw,100,a man speaks with some dry scraping and sanding
50414,OztEojYyYqs,110,people laugh as a man yells
82991,kxOgWqZdCKs,0,a motor vehicle runs as cars pass by and horns blow
47678,NDpgcZTRjnY,110,crossing bells ring and a train horn blows as it passes causing tracks to clickety-clack
82990,kxJzFiexZG0,30,"a cacophony of a train horn blaring, a train engine rumbling, and warning bells ringing"
82993,kxPCTj7GhJs,90,water splashes and trickles then a man speaks as clicking occurs
52811,QZKfddn0VVg,30,a motor thrumming followed shortly by a continuous spraying sound
52810,QZJwr6nRcuw,0,clicking occurs as an aircraft passes nearby and a goat vocalizes
52813,QZUxm4p8PfU,70,a man speaks while a stream of water flows and music plays
52812,QZMuhAjonGU,550,a man is typing on a computer keyboard and a donkey vocalizes
52815,QZYqgwanEqk,50,a loud burst followed by vibrations then knocking
52814,QZW54rmmYTM,0,clip-clop noises followed by a neigh
52817,QZcRNPFNl3A,280,thumping occurs with crackling taking place as birds chirp and water flows
52816,QZadjhHANCk,160,water splashes and creaking occurs as an engine runs
52819,QZiMaXuL0vo,310,an audience cheers and gives applause
82995,kxY_Asbi1wI,80,water moves around and splashes loudly as a man grunts at the end
88390,oxs2NCAPmnA,50,a child and a man talk alternately while water is trickling continuously
60902,W7yy23F9aJA,230,a race car steadily revving followed later by an even more energetic revving
8291,2KFRad_OEVM,30,cat meowing followed by silence
60906,W87rRSRdMmk,330,ambient rustling outdoors accompanied by wind blowing on microphone
60907,W88A7fSb33I,340,wind blows and water splashes
60904,W84RopEh7cA,40,insects buzz continuously
60905,W85mfTHOOgA,500,"clanking, tapping and scratching"
60908,W8BDM_jth3Y,540,a man speaks and a computer keyboard is clicked
8293,2KI5DapHfgE,20,loud repetitive snoring
46137,MDjRHyDp7T8,30,wind blows and leaves rustle while a man briefly talks
8292,2KGFCU3eN8Q,0,"a man speaking, followed by the calling of a frog"
15551,5MJpu9i-0QY,4,gurgling stream with birds singing in the background
8294,2KIGjxxJ42E,30,a large motor vehicle idles and people speak in the background
46134,MDZeTeN4I8I,40,a man speaks as a vehicle engine idles and wind blows lightly
65268,Z9yyGhM_9qw,200,buzzing of nearby insects with distant quacking and faint speaking from a nearby man
8297,2KLel6Z21W4,30,man cheering and motor running and revving
65264,Z9kaOeVNym0,20,a man speaks followed by two men talking
65265,Z9oq9kiKQEI,30,a baby crying and sobbing
65266,Z9qwnEkhQGY,190,kids talk nearby followed by some liquid flowing
8296,2KL_Ccz1YBM,27,a door opening followed by footsteps and a man speaking
65260,Z9YrOZ9ELXo,40,a man speaks then uses a drill
65261,Z9ZZF8c5VeI,210,a motor engine idling
65262,Z9aB-SFDnwk,310,"a man talks nearby, followed by a door closing, after which the man continues to talk"
65263,Z9eF9U1kdBw,480,a boat engine idles while people speak and wind blows
92886,sMrvWPOfIP4,150,a toilet is flushed nearby
92887,sN-ZWpTvL3E,10,some birds tweets while an electronic music is played
92884,sMiUhl_oKqw,10,water flowing moderately in a stream
92885,sMjWCcSva2M,2,a baby makes a whimper
92882,sMd42jcBN_Y,20,Low pitched throat noises followed by a female speaking.
92883,sMewmcIcI9w,530,a thunderstorm happens while a man speaks
92881,sMbMaN2lDGo,30,several pigeons coo and flap wings
92039,riCAT2iy1HY,90,a child laughs and a man makes noises
92888,sN2JZYGGKrE,80,a vehicle accelerates then a man speaks
92889,sN5B3nfGlZY,10,someone is typing keys on a computer keyboard at a fast pace
48913,O-uX2x0kL8E,20,rain falls onto a hard surface and thunder roars
48912,O-q91Ve9OCE,110,a motor runs steadily as a plane flies overhead and fades in the distance
93138,sYMB_ypX394,10,insects buzz and crickets sing
93134,sY6vqAzvhWE,370,a vehicle engine runs
93137,sYKdzM_NJW4,30,a person whistles to drums playing
93131,sXoM0yPlN_c,160,a woman speaks while food is cooking
93130,sXntmY7B_f4,30,squealing occurs while wind blows
93133,sY0v-kiSB0c,290,a vehicle accelerates and people cheer
93132,sXw5EeFcRlY,100,heavy wind together with rustling and brief chirping
75289,fLnEZkrXjc0,90,a man speaks while a surface is rasped
75288,fLldS_JpnaE,30,a baby crying followed by a voice wailing
75287,fLkEGY1Q9gU,21,a man is speaking while something is repeatedly hitting the ground
75286,fLjUFNZHJm4,570,"some chirping of birds in the background, followed by some buzzing some plunging of a piston"
75285,fLj8wKWa9k4,280,"rain, thunder and a horn noise"
75284,fLit-6AWPUo,100,a person is crumpling an object
75283,fLeIRql8lFg,28,a buzzing occurs continuously
75282,fLdUiSyZTRQ,140,birds chirp in the background quietly
75281,fLJJpPMUSnA,11,an emergency vehicle siren wails and an engine runs
75280,fLGDX-LUkmI,6,a car horn goes off four times in two sets
69643,bDsvwlZaW1s,30,a helicopter engine runs and hisses
28409,BXLFp1wvONU,10,whistling followed by a few tsk sounds
29232,BxejpPQ98Tc,30,a woman speaking interspersed by coughing
16709,5siQ3K31KeI,10,"sewing machine going, then stopping and starting up again"
16708,5siKASaXYTU,0,numerous background noise of people and animals that end with a animal bellowing
6819,1ijeSI4LOrU,30,birds are flapping their wings
6818,1iiFj83VI7M,0,"squeaking occurs, two females speak and laugh, and a hoofed animal walks by"
102365,ziUoP8L-zkA,230,an aircraft engine running
102362,ziO8CGRSZZ8,30,some clicks followed by a man speaking then some bangs
102363,ziQzaDcMzJg,18,Children talking in the background followed by a duck quacking then a woman talking while a lawn mower engine runs in the distance
102360,ziG1mj5gTTo,170,"an aircraft motor is running and buzzing, propellers are vibrating, and two adult males speak faintly in the background"
102361,ziJZ4yXPyb8,70,an infant sobbing followed by a woman talking then a man talking
6811,1iYLIIMgINQ,30,"a crowd cheers, a man speaks to them"
6810,1iXLWRFE000,30,an engine is idling
6813,1ibgN7gv1bQ,30,pigeon makes lots of different sound
6812,1iaEDqdYliE,14,a man is speaking and cars are speeding by
6815,1ie_mPvVJ4A,30,a motorboat engine is in use
6814,1icEOZdgkVY,30,infant crying frantically
6817,1ihBVEOfaVE,0,birds chirping and people speaking
6816,1ih1mXowz1U,0,an animal is stomping its feet
9757,2vSzoyYcFAA,30,woman giving a speech
9755,2vNfb9JmJcQ,13,a loud clicking and shuffling occurs
9754,2vNYlboKPQg,30,car driving fast then braking
9753,2vKxkciAFaM,9,"a dog pants, shuffles and barks"
9752,2vJVctVYbMo,30,an older man is giving a speech
9751,2vIXsl6gICw,30,loud engine attempting to get started
9750,2vHhaU0k_4k,30,the ticking and chiming of a clock
80595,jCld8xje-fE,150,footsteps shuffling followed by a series of gunshots firing in the distance and foreground
9759,2vTVb3LhxXE,210,clanking of dishes in the background while an older man speaks
9758,2vTS31IeyOY,7,papers rustling
24146,9SwqisZFZr8,30,television plays in background then a young child sneezes and speaks followed by an adult woman who speaks
24147,9Sxy1AlWmB8,70,a bell chimes several times
24144,9SvCis6IdgU,26,"man laughing and talking, whistle and engine revving"
24145,9SwGzhspGIs,30,a women speaking followed by a baby cooing
24142,9Sn8mlDZ0zs,17,wind blowing in a microphone and a group of people talking
24143,9SpP079VAYw,30,a man is snoring loudly
24141,9SkN9u22uhE,70,engine idling quietly with light wind
24149,9T1QT2OQ0iM,560,crumpling noise then a female voice speaks
59959,VU8ARooBgxM,1,"an alarm sounding, followed by an explosion"
59958,VU53rD9G3tM,20,water flows and a man speaks as wind blows
11849,3mFRYJSeViY,30,people are talking
59951,VTtLsCYN-3w,220,an audience gives applause and cheers
59950,VTq3C4jz03Q,360,an audience gives applause and speaks
59953,VTvEe0z9SE0,21,a mechanism tick-tocks continuously
59952,VTuEzCUFTdE,0,clanging sound then a toilet flushing
59955,VU-XykkFn0Q,100,kittens meows as a man and woman speak
59954,VU-1nxT7YPU,250,some surface is hit by a metallic tool
59957,VU4fJ98V0y4,30,water drains in a toilet
59956,VU4UQh2XJTg,60,a girls talks nearby
54277,RaYsGHFokc8,0,a steam engine hisses and horn blows
11845,3mCr9VOVwr0,10,"a whistle occurs, music plays, and an adult male sings"
11844,3m7qEYjfp8A,20,a person sneezes several times in rapid succession
11843,3m7V0B62BX0,40,typing very fast
11842,3m4sWT33ihU,30,a cat meowing and a female speaking
68348,aIny9mSon1Q,230,motorcycles run as a man speaks then a motorcycle engine idles and revs
11841,3m4ggq-R_9U,30,truck engine idling and people talking
68344,aIi_i_Bt510,50,a vehicle engine idling
68345,aIjM3AoguqE,210,a boat engine runs and wind blows
68346,aIjQkQ36AVQ,80,a person sucks air and belches very loudly
54270,RaAVUYwFd24,10,a vehicle engine runs and people speak as birds chirp
68340,aIS31DyFpDg,210,a car accelerates and skids
68341,aIVfQFtIp7E,50,a person speaks as a dog barks and whimpers
68342,aIa2B-UHJLk,20,rain falls on a surface while wind blows
68343,aIbQ6eQ67GA,400,a man speaking with a distant boom of a jet engine
77851,hCWaBB6LIew,30,a train horn sounds and tracks clickity-clack
82380,kWI2iEQa-LY,210,woman talking while crinkling a rubber object
100016,xpUT30qUUaI,10,rustling and white noise followed by a sneeze
100017,xpWWXLTXMaA,320,gunshots ring out and an explosion occurs
88980,pOhuRcU4ftQ,150,a woman speaks the a water tap runs briefly
88981,pOi4l9bA7z4,480,whooshing with a man speaking
30334,CYJhs2CPpQs,350,men speaking with distant traffic passing
30335,CYNWK2GpwgA,320,a man speaks and types on a computer keyboard
30336,CYPFpgF-jZo,50,children speak with a man and woman
30337,CYPUm9DrFWc,30,"a man speaks, then a woman speaks and a crowd cheers"
94335,tU-a9U6JcHI,30,ducks quack and a man speaks as squeaking occurs lightly
30331,CYHCSjfbI2M,30,a machine runs knocking repeatedly
76169,g0FJSvoLHFQ,30,insects buzz and a man speaks
76168,g0EXbG41tRY,30,rumble of an engine followed by an abrupt sharp tone then an engine accelerating
76167,g0DEhzvCz_Y,10,a vehicle accelerates and clicking occurs
76165,g0B18OZKyVw,11,a baby cries then a child and woman speak
76164,g0ACaijG5Rs,110,a harsh motor sound
76163,g06QT0gUKvo,30,a machine runs rapidly
30339,CYR_rnwGB58,30,a clock ticking as a man sings and music faintly plays in the distance
76161,g-wlCCvMt_A,50,wind blows strongly while people talk far away
76160,g-uqyDcbnA4,20,wind blowing followed by wood cracking
7566,21TicIHDQ2A,0,dog barking and woman speaking
7567,21U79EMisJo,30,"race cars are passing by, and a man is speaking"
44807,LLiUix-k6Lo,90,music plays and gunshots occur with a man yelling briefly
52460,QLEM4EzQhrQ,0,a man and woman speak after liquid is poured
94332,tTnKm3YSBbc,20,a beep occurs as humming takes place
7565,21OICSZB0Xw,30,crowd cheering and shouting then a female voice heard
59081,Ut_5VD_29_s,200,a water tap runs and splashes as a girl speaks
52461,QLGug-UFcZk,30,a man speaks on an intercom as a boat engine runs
44801,LLWQBGjko1o,80,an aircraft engine runs and wind blows
52462,QLKw_Tgd-ys,70,a gun shoots with lots of reverb
7563,21MXZZeg0vQ,30,"a man speaks over a microphone to a large room, his voice echoes, the crowd applauds"
72394,dEE89eYxvPQ,10,rain falls onto a hard surface and thunder roars then music plays
72395,dEG9Y1-HXQU,210,rain falls onto a hard surface
72396,dEGVz_hbX5U,100,a person sniffles and sneezes
72397,dEOOk_T3Ss0,30,large sharp explosions one after another with some bug noises from outside
72390,dE7CWR-lmK4,150,bells ring out repeatedly
72391,dE8Suq5NBYM,80,food sizzles and someone speaks
72392,dEBVH_Y43pY,60,a vehicle engine idles and revs
72393,dEDSzZ08uO4,50,an aircraft engine making raspy whirring noises
52464,QLVeNc6REjs,20,a person is snoring while sleeping and people speak in the background
44802,LLX_m_3YSSw,20,clip-clop noises followed by a man talking faintly
72398,dEOzXSxxHSs,30,insects fly nearby
72399,dEPx_z4Rpho,90,a woman speaks as food sizzles then another woman laughs
52465,QLZNCRM6GlQ,280,a woman speaks and uses a sewing machine
28407,BXIjs5q-W0U,30,a car accelerates and moves nearby
52466,QLZmGF9NEus,30,a man speaks and crumples paper
100019,xpeNiFfyIRs,170,a woman speaks and thunder rolls as music plays
35218,FGc9Zt1MXng,0,a child laughs loudly and a man shouts
35219,FGjeI4dkQrw,510,an adult woman speaks softly as paper crinkles and crumples
35214,FGLUMj2savQ,350,men speak while birds chirp and pigeons coo as a dog barks in the background
35215,FGLzoiXAqEI,100,a large bell rings
35216,FGOaLJg3EDE,300,food sizzles while frying and music plays then a man speaks briefly
35217,FGXfdOXOQZk,480,an audience applaud
35210,FGAg5PGzfu8,6,young child crying and woman speaking
53739,RCy8NqziWL8,60,"in a quiet environment, an adult male speaks and paper is crinkled and crumpled"
35212,FGHC5g4znEg,590,a man talks while a keyboard is typed
23266,90ysqz1zb0Q,30,a vehicle is accelerating
23267,90zLKk9MSdg,30,wind blowing while a helicopters engine runs
23264,90uYgzfHZxo,300,typing on a computer keyboard
23265,90wcPsxr4H4,30,a man speaking as music plays then suddenly two explosions
23262,90q27wRwb9k,550,several motorcycles race with engines humming and wind blowing
23263,90tI6IOUBUI,30,"some rumbling, then a melodious vehicle horn"
23260,90lCkXCD-zo,70,"adult females are laughing, and thumping occurs"
23261,90oU5rfJgdk,5,"a wind blows strongly in a microphone, then a blasting, blowing sound"
23269,912ulwC5d6M,25,a baby crying and breathing
63023,XbNKdKMOyXU,10,a vehicle accelerates and hissing occurs as brakes squeal and people speak
53733,RCfqWUzIINQ,250,a series of gunfire and explosions followed by people grunting and screaming as instrumental music plays in the background
95796,ubEi8Xdfgtk,30,humming of an engine with wind blowing hard and people speaking
53731,RCe9ercXpTw,10,a person makes a squeaking sound quickly followed by laughter and people are talking
43859,KikL1rBMIDs,30,some liquid flows and then stops while someone laughs
